Property Name;Description;id
Consumption;If you�re someone who needs to consume food and drink to survive, whenever you consume any food you remove one level of hunger and whenever you consume any drink, you remove one level of dehydration. You do not gain the benefits or the effects of any foods until after 1 minute. However, you gain the benefits and effects of drinks immediately after you consume them.;06a1b3c5-cd19-48c3-ba69-531a5222c81e
Spoiled;Cooked food becomes spoiled after 3 days, and any food that remains in an irradiated zone for more than an hour becomes spoiled. If you eat spoiled food, you contract dysentery.;256768df-ac6d-4b2f-89fd-3cb80cd1fe02
Addictive;If you consume a drink with the Alcoholic property that also has this property, you must succeed an Endurance ability check equal to 5. If you fail, you become addicted to alcoholic drinks. While you are addicted to alcoholic drinks you always have two levels of exhaustion unless you are drunk. You lose your alcohol addiction if you spend a number of weeks equal to 6 minus your Endurance ability ability modifier (minimum 1).;13f84139-6415-4292-a43f-cf21cbffedcb
Alcoholic;When you consume a drink with this property, and your Endurance ability score is equal to 5 or higher, you become buzzed for 1d4 hours. Endurance ability score is equal to 4 or lower, you become drunk instead. If you are already buzzed and you consume another alcoholic or high-proof drink, you become drunk for 1d4 hours. If you are drunk, and drink two more alcoholic or high-proof drinks, you become hammered for 1d4 hours. If you are hammered, and drink two more alcoholic or high-proof drinks, you become wasted for 1d4 hours.;23f45356-e8be-4c9d-9a19-8716c4162b2c
Caffeinated;If you consume a food or drink with this property, you no longer suffer the negative effects of the first three levels of exhaustion for the next 6 hours. If you have no levels of exhaustion, whenever you roll a d20, add 1 to the result. If you drink another Caffeinated drink while under the effects of one already, you gain 1 AP at the start of your turn for the next 6 hours. However, at the end of those 6 hours, you gain a level of exhaustion for each additional caffeinated drink you consumed while under the effects of one already.;8982e72c-2efd-4685-835a-6390b0165c25
Hallucinogenic;If you use a chem with this property, you have advantage on all luck checks and may flip your karma cap.;d6dbec0f-643c-4340-aa51-9e1a73b4d2c0
High-Proof;When you consume a drink with this property, and your Endurance ability score is equal to 5 or higher, you become drunk for 1d4 hours. Endurance ability score is equal to 4 or lower, you become hammered instead. If you are already drunk and you consume another alcoholic or high-proof drink, you become hammered for 1d4 hours. If you are hammered, and drink two more alcoholic or high-proof drinks, you become wasted for 1d4 hours.;c79de036-6989-4993-99cd-ffeda5674a9e
Hydrating;When you consume a drink with this property, you remove an additional two levels of dehydration (for a total of three since all drinks remove one level of dehydration).;b54966ff-4df3-412b-9542-b8f55b9c399b
Irradiated;Some foods aren�t entirely the safest to eat, but beggars can�t be choosers in the wasteland. When you consume a food that is irradiated, you gain one irradiated level. If you gain ten irradiated levels, you gain one level of rads.;81b6d31d-da51-44a4-b531-f825403127aa
Filling;If you consume food with this property, you remove another level of hunger.;5ffb8946-8da2-4802-becf-7057052c9913
Bland;If you consume a food with this property, you heal a number of stamina points equal to half your level.;196f826b-1cbc-419d-9fa9-f87362f68b72
Tasty;If you consume a food with this property, you heal a number of stamina points equal to your level.;aa9d9d9b-92a7-46ec-9fb8-157ad25abea8
Flavorsome;If you consume a food with this property, you heal a number of stamina points equal to double your level.;70cafa7b-ed0d-47f1-b60e-5ec4a462b132
Delicacy;If you consume a food with this property, you heal a number of stamina points equal to triple your level.;75797822-2a07-4b5f-bb5b-5900cbe1018f
Fortifying;If you consume food with this property, your radiation DC decreases by 2 for 6 hours.;7266552d-1403-46fa-8646-25286d2bd4a2
Energizing;If you consume a food or drink with this property, you gain 1 AP at the start of your turn for the next 4 hours.;abef1353-54c2-40f7-832a-bc6f2a29d1c9
Empowering;If you consume a food or drink with this property, you gain 2 AP at the start of your turn for the next 4 hours.;2334b5a9-adf5-43d0-b0da-8e2912d469bd
Regenerating;If you consume a food or drink with this property, you heal a number of hit points equal to your healing rate.;b4ecdb04-cda7-4fb1-ade2-4984c7d95995
Refreshing;If you consume a food with this property, you remove one level of dehydration.;fddec4b9-d854-4a61-8150-6a4e31b48386
Snack;If you consume a food with this property, you do not remove any levels of hunger unless you consume two foods with this property.;fc18b4cd-80a9-4c53-90b6-c56d218344ad
Spicy;If you consume a food or drink with this property, whenever you take fire or laser damage in the next 6 hours, your DT is increased by 3 for that damage.;8be9624d-7445-48c9-92b5-e1513af37b35
Hearty;If you consume a food or drink with this property, your carry load increases by 50 for the next 6 hours.;db3a583c-346e-46c2-9ed0-468570252b65
Pungent;If you consume a food or drink with this property, your DT increases by 1 for the next 6 hours.;5402db1e-8773-4ba4-b301-15fc1336cf85
Putrid;If you consume a food or drink with this property, you become poisoned for the next 4 hours if your Endurance score is 5 or lower.;cbd9fe15-3eb9-47e4-abff-0b862e36a9f1
Cleansing;If you consume a food or drink with this property, you cure one addiction.;c44bf50d-54ba-4453-b743-9c4ddb4c7dbe
Strengthening;If you consume a food or drink with this property, whenever you attack another creature and roll damage - the damage is increased by 2.;f4385220-c139-4768-9c47-713424b10e44
Lucky;If you consume a food or drink with this property, you have advantage on all Luck ability checks for the next 6 hours.;c8e3331d-f8cf-4981-80a1-91a621683a8d
Charged;If you consume a food or drink with this property, you recycle all of your unspent AP at the beginning of each of your turns for the next hour.;b3733786-d637-44c6-ab53-8a7258aefaf9
Tainted;If you consume a food or drink with this property, you contract a random disease. However, you may f lip your cap to instead ignore contracting a disease.;23f5bb13-861a-4621-ad3d-d7e018e4dbec
Hallucinogenic;If you use a chem with this property, you have advantage on all luck checks and may flip your karma cap.;1fdc3412-7ea2-42e6-9c08-c6b1aaeaee89
