Special Property Name;Description;id
Accurate;When you make a targeted attack roll with a weapon that has this property, you may choose the limb condition instead of rolling for it.;214624cc-74cd-480e-aa87-d48b731d04d4
Arc;When you deal damage to a creature with a weapon that has this property, the energy leaps to another nearby creature. Each creature within 20 feet of the previously damaged creature takes the same damage. The energy leaps so long as there is a new target within 20 feet of the previous one.;f0ce4d4f-dcc6-44c5-94b9-06e10ab861fb
Area of Effect;When you attack with a weapon that has this property, you do not make an attack roll. Instead you use the required ammo and any creatures or objects in range take the weapon�s damage when the attack hits. You do not add your Agility modifier to this damage.;8cd26db1-9b3f-49d9-8278-f35941abf7b9
Automatic;When you spend AP to attack with a weapon that has this property, you can make a number of additional attacks without spending any additional AP, the target of these additional attacks must be within 10 feet of the previous target and you do not add your agility modifier to the damage of the additional attacks. The number of additional attacks you can make is listed in the special properties column.;8534f75a-43c5-42e4-a507-3749185fadd1
Switch;A weapon with this property has two modes of fire, single shot and automatic. You can spend 3 AP to switch between the two modes. If you attack with the weapon while it is switched into its single shot mode of fire: the weapon functions normally and has the special properties listed under Single shot. If you attack with the weapon while it is switched into its automatic mode of fire: the weapon functions as if it has the automatic property (see Automatic above) and has the special properties listed under Automatic.;85e762ef-fb92-4c80-bdc7-f566ebbbfc36
Breakable;The weapon gains a level of decay when you roll a 3 or lower on an attack roll.;53deb063-e9f8-425d-9da5-56c1638e6232
Charge;When you spend action points to make an attack roll with a weapon that has this property, you can spend 3 additional AP to add one additional damage dice to the damage. Alternatively, you can spend 6 additional AP to add two additional damage dice. Whenever you charge a weapon, you add your modifier twice to the damage total instead of once.;39ba66b8-ee96-4913-a62f-3bfbd8fc1bc0
Corrosive;When you deal damage to a creature�s hit points with a weapon that has this property, their armor gains one level of decay. If they have natural armor, their AC and DT decrease by 1 to a maximum of 3 until their hit points are returned to full. Power Armor is unaffected by this condition.;6dc9cb06-b3c3-4220-9244-4194e098ea70
Debilitating;When you deal damage to a creature�s hit points from a targeted attack with a weapon that has this property, you roll twice on the conditions table and apply both conditions. If you roll the same condition twice, the effects stack. If the weapon has accurate, you may only choose one of the conditions.;1b25cb86-7bf4-4607-bc38-5bac0ad8e525
Defensive;If you block while holding this weapon, your DT increases by 2.;9851e390-01ba-42ff-a193-ea8cea229728
Destructive;When you roll a 1 on the damage dice with a ranged weapon that has this property, it is a 2 instead.;b3352a5f-b92e-47c9-95df-d16b9f202f0b
Durable;A ranged weapon with this property does not gain levels of decay when you roll a 1 on the attack roll.;7d1d3c59-215a-4031-9aaf-05b283539920
Electromagnetic;When a robot, synth, or creature made of inorganic material takes damage from a weapon with this property, the damage is doubled for them.;0cc53678-0e71-4f1a-bc30-a0d7f6fc36af
Energy Weapon;When you attack with a weapon that has this property, you add your Energy weapons skill bonus to the d20 roll instead of any other skill bonus. Additionally, when you deal damage from an attack with a weapon that has this property, you add a bonus equal to your Perception ability modifier instead of any other ability modifier.;ae5fefc0-c0ea-475e-89db-458292a5097c
Freezing;When a creature takes damage from a weapon with this property, they gain the Slowed condition until the end of their next turn.;d01ee1ff-f387-4cd5-a1b7-1c44a8db2084
Incendiary;When you deal damage to a target creature�s hit points with a weapon that has this property, they gain the Burning condition. If an attack with a ranged weapon with this property misses, the projectile may land nearby and alight any flammable objects (up to GM�s discretion). Additionally, any flammable objects hit by a weapon with this property immediately burst into flames.;2d3e0765-08d2-45b8-b11b-caddc5e75640
Kickback;If you hold a ranged weapon that has this property with one hand, both the short and long range are halved.;571d3940-1a2d-4bc0-8e8c-eed1ed6e2754
Manual Reload;When you reload a weapon with this property, you can choose how much AP you spend to reload but you must spend at least 3. You reload 1 round for every AP spent to reload.;6e99a291-3d5c-49d2-a1ed-1ec00dd6feca
Powerful;When you deal damage to a creature within 5 feet of you with a weapon that has this property, you deal extra damage equal to the crit damage.;942e58ca-1760-4758-9c90-3f539a95e8d6
Quick Reload;Reloading a weapon with this property costs 4 AP instead of 6.;dd487ae2-5ec4-405a-b56a-566670c57f0a
Radioactive;When you deal damage to a target creature�s hit points with a weapon that has this property, they must succeed a radiation check or take 1 level of rads.;4d3286ff-9514-4da0-ba6f-553ad94072dd
Semi-Automatic;If you spend AP to attack with this weapon directly after spending AP to attack with it on the same turn, you can make another attack without spending any AP. (Example: If you spend 4 AP to attack with a Laser Pistol on your turn, then you immediately spend 4 AP to attack again with the Laser Pistol, you can attack again without spending any AP.);9fcea8d2-412d-4235-93e4-e9d2a8a0cf44
Slow;When you attack with a weapon that has this property, you do not hit your target until the start of your next turn. If your target is no longer in range, you miss your attack and deal no damage.;7189344c-ee18-490d-a6da-65a4289d29e3
Slow Reload;Reloading a weapon with this property costs 10 AP instead of 6. If you and another creature are within 5 feet of the weapon, you can instead spend 5 AP to reload the weapon so long as they spend 5 AP on their previous turn to help you. If your maximum AP is 9 or lower and you reload a weapon with this property and another creature is not helping you - you must spend all your AP, then you must spend any leftover AP on your next turn to reload the weapon.;5a426697-75bb-42e2-b77e-d8842905e5fb
Spread;When you attack a target in the second range increment of a weapon that has this property, you also target each creature and object within 5 feet of the target.;d805a1d5-1578-418f-a2f0-01f09facfdc4
